candidate_id,title,arxiv_id,source,full_text_path,acquisition_status,full_text_decision,inclusion_group,exact_criterion,evidence_location,decision_rationale,duplicate_or_companion,screening_reviewer,screening_date
ARXIV-0002,TrustChain-Review: A Risk-Adaptive Blockchain and Game-Theoretic Framework for Trustworthy AI-Assisted Code Review,2607.27310v1,arXiv,papers/search-candidates/pdfs/ARXIV-0002_2607.27310.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: human-AI review workflow and operational-cost evidence.,Abstract; Sections 1 and 3.,"Evaluates a risk-adaptive governance simulation for AI-assisted code review, including trust/detection outcomes and governance cost. It does not evaluate generated review comments directly, so it is supporting evidence only.",,Codex,2026-08-02
ARXIV-0003,Rethinking Training Data for Generating Code Review Comments,2607.25851v1,arXiv,papers/search-candidates/pdfs/ARXIV-0003_2607.25851.pdf,downloaded_valid_pdf,include,core,Core inclusion: generated review comments and dataset/context validity.,Abstract; Sections 1 and 2.,"Empirically analyses diff-comment training pairs for automated review-comment generation and derives a taxonomy covering semantic ambiguity, lack of actionability, and context dependence.",,Codex,2026-08-02
ARXIV-0004,ALIBI: Adaptive Agentic Attacks on LLM-Based Vulnerability Detectors via Adversarial Code Comments,2607.24964v1,arXiv,papers/search-candidates/pdfs/ARXIV-0004_2607.24964.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: closely related security/static-analysis setting with a review-feedback connection.,Abstract; Sections 1 and 2.,Demonstrates that adversarial natural-language source comments can mislead LLM vulnerability reviewers and evaluates defenses. Its artifact is a security detector rather than generated review comments.,,Codex,2026-08-02
ARXIV-0005,Evaluating the Impact of Explainable AI on Trust in AI-Assisted Code Review,2607.24601v1,arXiv,papers/search-candidates/pdfs/ARXIV-0005_2607.24601.pdf,downloaded_valid_pdf,include,core,Core inclusion: AI-assisted code review and reviewer trust/usefulness evaluation.,Abstract; Sections 1 and 3.,"Within-subject user study directly evaluates explanation level, trust, agreement with AI review recommendations, and review time for AI-assisted code review.",,Codex,2026-08-02
ARXIV-0007,Cross-Model LLM Code Review: Should you use Claude to review Codex or vice versa?,2607.21656v1,arXiv,papers/search-candidates/pdfs/ARXIV-0007_2607.21656.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: human-AI review workflow and operational-cost evidence.,Abstract; Sections 1 and 2.,"Controlled writer-reviewer experiment reports correctness, reviewer fixes and regressions, cost, and latency. The reviewer rewrites code rather than producing a review-comment artifact, so it is supporting workflow evidence.",,Codex,2026-08-02
ARXIV-0009,"Agentic Code Review in the Terminal: A Trajectory-Level Analysis of Behavior, Cost, and Human-Alignment",2607.16740v1,arXiv,papers/search-candidates/pdfs/ARXIV-0009_2607.16740.pdf,downloaded_valid_pdf,include,core,Core inclusion: LLM-based code review and trade-off-aware evaluation.,Abstract; Sections 1 and 2.,"Empirically evaluates terminal-based agentic reviewers using a human-verified review dataset, review precision, repository-grounded trajectories, human alignment, and operational cost.",,Codex,2026-08-02
ARXIV-0010,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,2607.13196v1,arXiv,papers/search-candidates/pdfs/ARXIV-0010_2607.13196.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: human-AI review workflow and reviewer burden/usefulness.,Abstract; Section 1.,"Large-scale observational study of pull-request review across human, LLM-assisted, and agentic eras; reports efficiency and review-quality associations but does not evaluate generated comments as an artifact.",,Codex,2026-08-02
ARXIV-0011,Evaluation Bias and Epistemic Inequality in Global Software Development,2607.12563v1,arXiv,papers/search-candidates/pdfs/ARXIV-0011_2607.12563.pdf,downloaded_valid_pdf,exclude,,Exclusion: no review-feedback connection.,Abstract; Section 1.,"The study concerns regional evaluation bias in global software development. A code-review exercise is one assessment task, not the study's review-feedback artifact or evaluation target.",,Codex,2026-08-02
ARXIV-0012,Self-Improving AI Coding Agents Through Accumulated Behavioral Rules: A Closed-Loop Framework,2607.13091v1,arXiv,papers/search-candidates/pdfs/ARXIV-0012_2607.13091.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: mitigation through human-feedback-derived rules in a code-review workflow.,Abstract; Section 1.,Reports a closed-loop process that converts accepted human review comments into persistent coding-agent rules and measures recurrence outcomes across recorded production sessions; it does not evaluate generated review comments directly.,,Codex,2026-08-02
ARXIV-0014,Balancing Usefulness and Naturalness: An LLM-based Curation Pipeline for Code Review Comments,2607.09524v1,arXiv,papers/search-candidates/pdfs/ARXIV-0014_2607.09524.pdf,downloaded_valid_pdf,include,core,"Core inclusion: generated review comments, dataset validity, and mitigation trade-offs.",Abstract; Section 1.,"Directly evaluates LLM-based curation of review-comment datasets across comment-quality dimensions, downstream comment generation and refinement, and the standardization-diversity trade-off.",,Codex,2026-08-02
